country,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,ldc_mean
Madagascar,20.6,23.0,22.3,31.6,70.4,50.0,41.5,46.1,42.4,21.1,22.6,20.6,16.5,21.7,24.9,28.0,25.0,30.5,26.3,30.79
Malawi,40.2,36.0,32.4,43.3,41.2,45.4,55.7,57.5,67.4,54.8,69.9,53.4,76.1,71.5,57.2,62.7,72.2,85.9,70.1,57.52
Mali,26.3,31.2,36.2,46.4,47.3,56.7,65.8,74.8,68.6,67.5,72.5,81.7,62.3,85.0,73.0,68.9,67.1,73.5,78.2,62.26
Mauritania,85.0,105.0,131.0,91.3,66.3,62.4,69.5,109.0,138.0,111.0,107.0,106.0,111.0,77.2,66.3,81.4,73.8,67.9,102.0,92.69
Mozambique,51.2,52.8,118.0,54.3,62.5,62.9,77.9,82.4,89.5,88.0,82.6,85.4,83.3,90.5,80.1,67.3,55.1,63.0,61.7,74.13
Myanmar,2.26,2.66,2.5,2.6,2.54,2.96,2.96,3.95,10.7,7.08,7.01,7.45,9.81,75.9,26.5,22.2,29.0,28.9,31.4,14.65
Nepal,13.0,14.3,13.5,18.1,16.9,15.8,17.4,21.1,23.0,26.4,28.4,27.7,28.5,32.4,32.8,45.3,39.0,45.9,51.6,26.9
Niger,18.5,22.0,24.3,38.0,41.8,38.4,38.3,39.2,40.4,29.7,45.0,37.7,50.1,43.1,47.7,43.5,45.8,56.6,53.3,39.65
Rwanda,40.5,37.0,42.7,39.3,56.6,64.8,66.9,84.1,98.2,95.5,103.0,123.0,83.3,100.0,93.4,95.7,98.6,103.0,91.0,79.82
Sao Tome and Principe,246.0,264.0,177.0,252.0,219.0,208.0,143.0,307.0,276.0,173.0,278.0,398.0,269.0,280.0,211.0,245.0,231.0,194.0,210.0,241.11
Senegal,44.1,42.2,43.3,43.5,98.6,63.2,76.4,74.0,88.8,82.5,73.9,80.9,80.3,72.2,78.2,59.6,48.8,58.8,62.5,66.94
Sierra Leone,39.4,70.4,77.2,64.8,69.2,60.2,65.2,91.9,61.8,71.3,71.4,64.6,65.5,65.4,130.0,132.0,94.6,72.3,66.1,75.44
Solomon Islands,166.0,140.0,60.1,139.0,265.0,419.0,415.0,482.0,445.0,399.0,631.0,605.0,549.0,507.0,342.0,315.0,283.0,294.0,296.0,355.37
Somalia,11.5,16.3,16.1,17.9,19.9,23.0,36.8,35.5,67.2,56.5,42.0,88.8,77.9,80.7,82.6,91.4,83.4,121.0,105.0,56.5
Sudan,6.48,5.37,8.29,16.4,25.5,45.6,49.7,50.0,58.8,52.4,43.9,47.2,36.3,39.1,22.2,22.4,19.7,19.9,31.62,31.62
Tanzania,31.8,37.1,35.7,47.5,47.5,38.8,47.7,69.4,55.7,72.6,66.8,53.5,60.0,70.8,53.1,50.2,43.7,47.3,43.6,51.2
Togo,14.1,9.1,9.84,9.4,11.9,14.7,13.9,20.7,54.3,79.1,62.8,82.2,36.2,32.5,29.6,27.2,22.4,44.7,37.6,32.22
Uganda,36.2,34.0,29.1,38.6,45.6,43.2,55.6,58.9,54.0,56.9,52.1,47.0,47.5,47.5,44.3,42.9,44.5,48.8,45.4,45.9
Vanuatu,192.0,154.0,141.0,166.0,189.0,193.0,231.0,263.0,415.0,439.0,463.0,383.0,409.0,356.0,381.0,688.0,464.0,463.0,423.0,337.53
Yemen,18.0,20.8,11.7,12.9,13.6,14.7,13.9,11.4,19.6,24.8,28.8,20.1,29.1,41.3,45.1,67.1,84.7,116.0,280.0,45.98
Zambia,76.3,53.4,73.9,68.4,97.7,98.6,121.0,81.8,86.8,96.2,67.6,73.7,66.2,76.7,64.8,50.2,59.1,61.7,57.2,75.33
